"time"	"n.risk"	"n.event"	"n.censored"
0	409	0	1
0.583505821	408	1	2
1.930344373	405	3	3
3.147401909	399	1	3
4.742266404	395	2	1
5.260429131	392	3	3
6.541896504	386	3	3
7.840372216	380	4	2
9.163473044	374	1	3
10.56111476	370	3	3
11.82830992	364	2	2
13.16072836	360	1	12
14.4931468	347	4	13
15.87603564	330	1	12
17.15798368	317	2	12
18.52767256	303	3	12
19.82282056	288	1	13
21.155239	274	1	12
22.48765744	261	2	12
23.82007588	247	3	12
25.15249431	232	1	0
26.48491275	231	2	0
27.81733119	229	2	0
29.14974963	227	0	0
30.48216807	227	2	0
31.81458651	225	1	0
33.14700495	224	2	0
34.47942339	222	1	0
35.81184183	221	1	0
37.14426027	220	2	0
38.47667871	218	3	0
39.26401688	215	1	0
39.80909715	214	2	0
41.14151559	212	1	0
42.47393403	211	3	0
43.80635246	208	1	0
45.1387709	207	2	0
46.47118934	205	1	0
47.80360778	204	3	0
49.13602622	201	3	0
50.46844466	198	3	0
51.8008631	195	2	0
53.13328154	193	3	0
54.46569998	190	3	0
55.79811842	187	1	0
57.06997238	186	3	0
58.34182635	183	2	0
59.67424479	181	1	0
60.94609875	180	2	6
62.09682377	172	3	7
63.30811326	162	3	8
64.6405317	151	1	7
65.91238566	143	1	7
67.18423963	135	2	8
68.51665807	125	1	7
69.84907651	117	0	8
71.18149494	109	2	7
72.51391338	100	0	6
73.84633182	94	1	6
74.93649236	87	1	4
75.75411277	82	3	8
77.29850687	71	0	3
77.87992583	68	2	7
79.17600558	59	0	7
80.50842402	52	1	7
81.84084246	44	0	6
83.05213195	38	0	5
84.02116354	33	1	2
85.29301751	30	0	2
85.95922673	28	1	2
86.68600042	25	1	5
89.29562137	19	0	1
89.51491197	18	1	0
89.67384783	17	1	1
90.14826955	15	1	0
96.01	1	0	0
