"time"	"n.risk"	"n.event"	"n.censored"
0.72392756785208	408	0	0
1.89349112426036	408	3	1
2.94367237441953	404	3	2
4.92307692307693	399	1	0
5.30177514792899	398	2	1
6.43786982248521	395	1	1
7.38461538461539	393	1	0
8.40206124302803	392	2	1
9.27810650887574	389	2	1
10.603550295858	386	1	1
12.2835822162607	384	2	0
13.7218243625925	382	2	0
14.7701815897379	380	2	0
15.5266272189349	378	2	0
16.286400719907	376	2	0
17.0414201183432	374	3	0
18.1775147928994	371	1	1
19.5614340410721	369	2	0
20.8957068756208	367	1	0
22.2299797101695	366	2	0
23.5642525447183	364	1	0
24.898525379267	363	1	0
26.2327982138158	362	1	1
27.5670710483645	360	2	1
28.9013438829133	357	2	1
30.235616717462	354	2	1
31.5698895520107	351	1	1
32.9041623865595	349	2	1
34.2477658003708	346	2	1
35.572708055657	343	1	0
36.9069808902057	342	1	0
38.2412537247545	341	2	1
39.6260671969755	338	1	1
40.8258241804887	336	2	1
41.7831416128293	333	4	0
43.0931549412953	329	2	1
44.5114029892073	326	3	1
45.7617006103928	322	2	1
47.1799486583048	319	1	0
48.2840236686391	318	3	1
49.7645191140391	314	1	2
51.0987919485878	311	1	2
52.3290954713535	308	2	2
53.7673376176853	304	0	1
55.0712860696306	303	3	2
56.4358832867828	298	0	2
57.7701561213315	296	2	1
58.887573964497	293	2	1
60.0236686390533	290	2	5
60.5686634301578	283	3	14
61.8942721553913	266	2	13
63.0668149493886	251	4	14
64.4135285562875	233	3	10
65.3148625130526	220	2	14
66.6248758415186	204	1	13
67.8530133369555	190	2	14
69.16279340094	174	2	7
69.8116927769284	165	3	11
70.8789535153071	151	3	14
72.2045622405406	134	1	7
73.5388350750894	126	0	5
74.2666202575705	121	3	7
75.5237037545834	111	0	2
75.9289940828403	109	2	3
76.3076923076923	104	1	3
76.9082109199094	100	2	7
78.1481412308032	91	0	6
79.1479289940829	85	1	8
80.4733727810651	76	0	3
80.8908131684867	73	1	8
82.272257264863	64	0	7
83.5863138443428	57	0	2
83.8816568047337	55	1	13
86.1538461538462	41	0	0
86.4057038781853	41	1	10
89.0649189680202	30	0	4
90.1111101678368	26	0	1
90.4178529610941	25	2	0
96.1893491124261	2	0	0
