time pstate1 pstate2 pstate3 pstate4 surv treat
0 1 0 0 0 1 0
0.0833333333333333 0.9878 0.0096 0 0.0026 0.9974 0
0.166666666666667 0.979 0.0158 0 0.0052 0.9948 0
0.25 0.9658 0.0254 2e-04 0.0086 0.9912 0
0.333333333333333 0.954 0.0334 4e-04 0.0122 0.9874 0
0.416666666666667 0.9408 0.0424 8e-04 0.016 0.9832 0
0.5 0.927 0.0512 0.002 0.0198 0.9782 0
0.583333333333333 0.9104 0.0632 0.0024 0.024 0.9736 0
0.666666666666667 0.895 0.0728 0.0048 0.0274 0.9678 0
0.75 0.878 0.0844 0.0056 0.032 0.9624 0
0.833333333333333 0.8638 0.0952 0.0072 0.0338 0.959 0
0.916666666666667 0.848 0.1056 0.0096 0.0368 0.9536 0
1 0.834 0.1144 0.0114 0.0402 0.9484 0
1.08333333333333 0.8198 0.1236 0.0146 0.042 0.9434 0
1.16666666666667 0.8054 0.1346 0.016 0.044 0.94 0
1.25 0.7902 0.1442 0.0194 0.0462 0.9344 0
1.33333333333333 0.7746 0.1568 0.0206 0.048 0.9314 0
1.41666666666667 0.7596 0.1696 0.0218 0.049 0.9292 0
1.5 0.7412 0.1814 0.0256 0.0518 0.9226 0
1.58333333333333 0.7246 0.1918 0.0286 0.055 0.9164 0
1.66666666666667 0.7096 0.2022 0.0306 0.0576 0.9118 0
1.75 0.694 0.2118 0.0336 0.0606 0.9058 0
1.83333333333333 0.677 0.2234 0.0366 0.063 0.9004 0
1.91666666666667 0.661 0.2334 0.0408 0.0648 0.8944 0
2 0.6456 0.2418 0.0458 0.0668 0.8874 0
2.08333333333333 0.6302 0.2516 0.0496 0.0686 0.8818 0
2.16666666666667 0.611 0.2644 0.054 0.0706 0.8754 0
2.25 0.5922 0.2762 0.0594 0.0722 0.8684 0
2.33333333333333 0.5722 0.2904 0.064 0.0734 0.8626 0
2.41666666666667 0.5548 0.3008 0.0696 0.0748 0.8556 0
2.5 0.5356 0.314 0.0744 0.076 0.8496 0
2.58333333333333 0.5154 0.3274 0.0802 0.077 0.8428 0
2.66666666666667 0.4962 0.3382 0.0878 0.0778 0.8344 0
2.75 0.4744 0.3538 0.0928 0.079 0.8282 0
2.83333333333333 0.4574 0.3658 0.097 0.0798 0.8232 0
2.91666666666667 0.4398 0.3748 0.1046 0.0808 0.8146 0
3 0.422 0.384 0.1124 0.0816 0.806 0
3.08333333333333 0.4044 0.395 0.1182 0.0824 0.7994 0
3.16666666666667 0.3886 0.4026 0.1264 0.0824 0.7912 0
3.25 0.3736 0.4096 0.1342 0.0826 0.7832 0
3.33333333333333 0.354 0.4196 0.1438 0.0826 0.7736 0
3.41666666666667 0.3368 0.4288 0.1512 0.0832 0.7656 0
3.5 0.3198 0.438 0.158 0.0842 0.7578 0
3.58333333333333 0.3048 0.4464 0.1644 0.0844 0.7512 0
3.66666666666667 0.2898 0.4546 0.1712 0.0844 0.7444 0
3.75 0.2748 0.4606 0.1798 0.0848 0.7354 0
3.83333333333333 0.256 0.4702 0.1886 0.0852 0.7262 0
3.91666666666667 0.2404 0.4748 0.1994 0.0854 0.7152 0
4 0.2226 0.482 0.2092 0.0862 0.7046 0
4.08333333333333 0.2082 0.4862 0.2192 0.0864 0.6944 0
4.16666666666667 0.1924 0.4958 0.2248 0.087 0.6882 0
4.25 0.178 0.5006 0.2342 0.0872 0.6786 0
4.33333333333333 0.1654 0.5032 0.244 0.0874 0.6686 0
4.41666666666667 0.1506 0.5084 0.2532 0.0878 0.659 0
4.5 0.136 0.5118 0.2642 0.088 0.6478 0
4.58333333333333 0.1258 0.5144 0.2718 0.088 0.6402 0
4.66666666666667 0.1132 0.5198 0.2788 0.0882 0.633 0
4.75 0.1012 0.522 0.2884 0.0884 0.6232 0
4.83333333333333 0.092 0.522 0.2974 0.0886 0.614 0
4.91666666666667 0.082 0.5218 0.3074 0.0888 0.6038 0
5 0.0722 0.523 0.316 0.0888 0.5952 0
5.08333333333333 0.0658 0.5212 0.324 0.089 0.587 0
5.16666666666667 0.0586 0.5194 0.333 0.089 0.578 0
5.25 0.0522 0.5146 0.3436 0.0896 0.5668 0
5.33333333333333 0.046 0.5102 0.3538 0.09 0.5562 0
5.41666666666667 0.0408 0.508 0.3612 0.09 0.5488 0
5.5 0.0364 0.5028 0.3708 0.09 0.5392 0
5.58333333333333 0.032 0.4988 0.379 0.0902 0.5308 0
5.66666666666667 0.027 0.496 0.3866 0.0904 0.523 0
5.75 0.0222 0.4926 0.3948 0.0904 0.5148 0
5.83333333333333 0.0188 0.4848 0.406 0.0904 0.5036 0
5.91666666666667 0.0154 0.4808 0.4134 0.0904 0.4962 0
6 0.013 0.473 0.4236 0.0904 0.486 0
6.08333333333333 0.0108 0.4662 0.4326 0.0904 0.477 0
6.16666666666667 0.0082 0.4618 0.4396 0.0904 0.47 0
6.25 0.0064 0.4536 0.4496 0.0904 0.46 0
6.33333333333333 0.0048 0.4484 0.4564 0.0904 0.4532 0
6.41666666666667 0.0036 0.4414 0.4646 0.0904 0.445 0
6.5 0.0022 0.4324 0.475 0.0904 0.4346 0
6.58333333333333 0.0016 0.4266 0.4814 0.0904 0.4282 0
6.66666666666667 0.0012 0.4198 0.4886 0.0904 0.421 0
6.75 8e-04 0.4098 0.499 0.0904 0.4106 0
6.83333333333333 8e-04 0.3994 0.5094 0.0904 0.4002 0
6.91666666666667 6e-04 0.3934 0.5156 0.0904 0.394 0
7 2e-04 0.3858 0.5236 0.0904 0.386 0
7.08333333333333 2e-04 0.3786 0.5308 0.0904 0.3788 0
7.16666666666667 2e-04 0.3718 0.5376 0.0904 0.372 0
7.25 2e-04 0.363 0.5464 0.0904 0.3632 0
7.33333333333333 2e-04 0.3566 0.5528 0.0904 0.3568 0
7.41666666666667 0 0.35 0.5596 0.0904 0.35 0
7.5 0 0.3416 0.568 0.0904 0.3416 0
7.58333333333333 0 0.3346 0.575 0.0904 0.3346 0
7.66666666666667 0 0.3288 0.5808 0.0904 0.3288 0
7.75 0 0.3192 0.5904 0.0904 0.3192 0
7.83333333333333 0 0.3132 0.5964 0.0904 0.3132 0
7.91666666666667 0 0.3072 0.6024 0.0904 0.3072 0
8 0 0.2994 0.6102 0.0904 0.2994 0
8.08333333333333 0 0.294 0.6156 0.0904 0.294 0
8.16666666666667 0 0.2892 0.6204 0.0904 0.2892 0
8.25 0 0.2836 0.626 0.0904 0.2836 0
8.33333333333333 0 0.2786 0.631 0.0904 0.2786 0
8.34027777777778 0 0.2786 0.631 0.0904 0.2786 0
8.34722222222222 0 0.2786 0.631 0.0904 0.2786 0
8.35416666666667 0 0.2786 0.631 0.0904 0.2786 0
8.36111111111111 0 0.2786 0.631 0.0904 0.2786 0
8.36805555555556 0 0.2786 0.631 0.0904 0.2786 0
8.375 0 0.2786 0.631 0.0904 0.2786 0
8.38194444444444 0 0.2786 0.631 0.0904 0.2786 0
8.38888888888889 0 0.2786 0.631 0.0904 0.2786 0
8.39583333333333 0 0.2786 0.631 0.0904 0.2786 0
8.40277777777778 0 0.2786 0.631 0.0904 0.2786 0
8.40972222222222 0 0.2786 0.631 0.0904 0.2786 0
8.41666666666667 0 0.273 0.6366 0.0904 0.273 0
8.42361111111111 0 0.273 0.6366 0.0904 0.273 0
8.43055555555556 0 0.273 0.6366 0.0904 0.273 0
8.4375 0 0.273 0.6366 0.0904 0.273 0
8.44444444444444 0 0.273 0.6366 0.0904 0.273 0
8.45138888888889 0 0.273 0.6366 0.0904 0.273 0
8.45833333333333 0 0.273 0.6366 0.0904 0.273 0
8.46527777777778 0 0.273 0.6366 0.0904 0.273 0
8.47222222222222 0 0.273 0.6366 0.0904 0.273 0
8.47916666666667 0 0.273 0.6366 0.0904 0.273 0
8.48611111111111 0 0.273 0.6366 0.0904 0.273 0
8.49305555555556 0 0.273 0.6366 0.0904 0.273 0
8.5 0 0.2676 0.642 0.0904 0.2676 0
8.50694444444444 0 0.2676 0.642 0.0904 0.2676 0
8.51388888888889 0 0.2676 0.642 0.0904 0.2676 0
8.52083333333333 0 0.2676 0.642 0.0904 0.2676 0
8.52777777777778 0 0.2674 0.6422 0.0904 0.2674 0
8.53472222222222 0 0.2674 0.6422 0.0904 0.2674 0
8.54166666666667 0 0.2674 0.6422 0.0904 0.2674 0
8.54861111111111 0 0.2674 0.6422 0.0904 0.2674 0
8.55555555555556 0 0.2674 0.6422 0.0904 0.2674 0
8.5625 0 0.2674 0.6422 0.0904 0.2674 0
8.56944444444444 0 0.2674 0.6422 0.0904 0.2674 0
8.57638888888889 0 0.2674 0.6422 0.0904 0.2674 0
8.58333333333333 0 0.2616 0.648 0.0904 0.2616 0
8.59027777777778 0 0.2616 0.648 0.0904 0.2616 0
8.59722222222222 0 0.2616 0.648 0.0904 0.2616 0
8.60416666666667 0 0.2616 0.648 0.0904 0.2616 0
8.61111111111111 0 0.2616 0.648 0.0904 0.2616 0
8.61805555555556 0 0.2616 0.648 0.0904 0.2616 0
8.625 0 0.2616 0.648 0.0904 0.2616 0
8.63194444444444 0 0.2616 0.648 0.0904 0.2616 0
8.63888888888889 0 0.2616 0.648 0.0904 0.2616 0
8.64583333333333 0 0.2616 0.648 0.0904 0.2616 0
8.65277777777778 0 0.2616 0.648 0.0904 0.2616 0
8.65972222222222 0 0.2616 0.648 0.0904 0.2616 0
8.66666666666667 0 0.2576 0.652 0.0904 0.2576 0
8.67361111111111 0 0.2576 0.652 0.0904 0.2576 0
8.68055555555556 0 0.2576 0.652 0.0904 0.2576 0
8.6875 0 0.2576 0.652 0.0904 0.2576 0
8.69444444444444 0 0.2576 0.652 0.0904 0.2576 0
8.70138888888889 0 0.2576 0.652 0.0904 0.2576 0
8.70833333333333 0 0.2576 0.652 0.0904 0.2576 0
8.71527777777778 0 0.2576 0.652 0.0904 0.2576 0
8.72222222222222 0 0.2576 0.652 0.0904 0.2576 0
8.72916666666667 0 0.2576 0.652 0.0904 0.2576 0
8.73611111111111 0 0.2576 0.652 0.0904 0.2576 0
8.74305555555556 0 0.2576 0.652 0.0904 0.2576 0
8.75 0 0.2514 0.6582 0.0904 0.2514 0
8.75694444444444 0 0.2514 0.6582 0.0904 0.2514 0
8.76388888888889 0 0.2514 0.6582 0.0904 0.2514 0
8.77083333333333 0 0.2514 0.6582 0.0904 0.2514 0
